Date,Name,Year,Letterboxd URI,Rating
2020-02-23,Parasite,2019,https://boxd.it/hTha,5
2023-02-09,Aftersun,2022,https://boxd.it/Arw0,5
2023-02-09,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2023-04-12,BEEF,2023,https://boxd.it/FPsm,5
2024-09-09,Past Lives,2023,https://boxd.it/oNB8,3.5
2026-07-26,Sinners,2025,https://boxd.it/KQMM,4
2026-07-26,The Eternal Memory,2023,https://boxd.it/D4g0,4
2026-07-26,Marty Supreme,2025,https://boxd.it/Off0,3.5
2026-07-26,The Odyssey,2026,https://boxd.it/QFQU,5
2026-07-26,The Boy and the Heron,2023,https://boxd.it/ipeM,5
2026-07-26,Oppenheimer,2023,https://boxd.it/wUow,5
2026-07-26,I'm Still Here,2024,https://boxd.it/BPEO,5
2026-07-26,The Motorcycle Diaries,2004,https://boxd.it/28nU,4
2026-07-26,Project Hail Mary,2026,https://boxd.it/pEeQ,4
2026-07-26,Hamnet,2025,https://boxd.it/woVy,5
2026-07-26,The Worst Person in the World,2021,https://boxd.it/oyws,4
2026-07-26,Conclave,2024,https://boxd.it/AO8q,3.5
2026-07-26,Sentimental Value,2025,https://boxd.it/GwcG,4
2026-07-26,One Battle After Another,2025,https://boxd.it/DUHM,2.5
2026-07-26,City of God,2002,https://boxd.it/2a2a,5
2026-07-26,There Will Be Blood,2007,https://boxd.it/20Z2,4
2026-07-26,A Real Pain,2024,https://boxd.it/CjNG,3
2026-07-26,Promising Young Woman,2020,https://boxd.it/loRE,3
2026-07-26,Robot Dreams,2023,https://boxd.it/vBZm,4
2026-07-26,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2026-07-26,Manchester by the Sea,2016,https://boxd.it/b2L0,4
