Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
909668,El hombre que fue Jueves,G.K. Chesterton,"Chesterton, G.K.",,"=""8489163987""","=""9788489163980""",4.0,"MESTAS Ediciones, S.L.",Paperback,192,2000,1908,,2026/07/26,,,read,,,,1,0
9690470,Herejes,G.K. Chesterton,"Chesterton, G.K.",Stella Mastrangelo,"=""8496834077""","=""9788496834071""",5.0,Acantilado,Paperback,224,2007,1905,,2026/07/26,,,read,,,,1,0
2947273,A sangre fría,Truman Capote,"Capote, Truman",Jesús Zulaika Goicoechea,"=""""","=""""",5.0,Editorial Anagrama,Mass Market Paperback,440,2006,1966,,2026/07/26,,,read,,,,1,0
28162111,100 años de soledad,Gabriel García Márquez,"Márquez, Gabriel García",Jorge Martínez,"=""1516909623""","=""""",4.0,CreateSpace Independent Publishing Platform,Paperback,132,2015,1967,,2026/07/26,,,read,,,,1,0
10710369,"Why Things Matter to People: Social Science, Values and Ethical Life",Andrew Sayer,"Sayer, Andrew",,"=""0521171644""","=""9780521171649""",5.0,Cambridge University Press,Paperback,296,2011,2011,,2026/07/26,,,read,,,,1,0
55756916,Un verdor terrible,Benjamín Labatut,"Labatut, Benjamín",,"=""""","=""""",4.0,Editorial Anagrama,Paperback,213,2020,2020,,2026/07/26,,,read,,,,1,0
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,"=""9871144261""","=""9789871144266""",4.0,Booket,Paperback,158,2003,1948,,2026/07/26,,,read,,,,1,0
11479266,Formas de volver a casa,Alejandro Zambra,"Zambra, Alejandro",,"=""8433972278""","=""9788433972279""",4.0,Anagrama,Paperback,164,2011,2011,,2026/07/26,,,read,,,,1,0
916114,La vida es sueño,Pedro Calderón de la Barca,"Barca, Pedro Calderón de la",Ciraco Moron,"=""8437600928""","=""9788437600925""",5.0,Cátedra,Paperback,207,2001,1635,,2021/01/02,,,read,,,,1,0
241328467,Tao Te Ching: A New Translation,Laozi,"Laozi, Laozi","David Bentley Hart, Patrick Robert Hart","=""0300284993""","=""9780300284997""",5.0,Yale University Press,Hardcover,128,2026,,,2026/07/26,,,read,,,,1,0
49415060,Power in Modernity: Agency Relations and the Creative Destruction of the King’s Two Bodies,Isaac Ariail Reed,"Reed, Isaac Ariail",,"=""022668931X""","=""9780226689319""",5.0,University of Chicago Press,Hardcover,312,2020,,,2026/06/09,,,read,,,,1,0
44501600,Pensar desde la nada,Kitarō Nishida,"Nishida, Kitarō","Juan Masia Clavel, Juan Haidar","=""8430118853""","=""9788430118854""",3.0,"Ediciones Sígueme, S. A.",Paperback,144,2015,2006,,2021/01/02,,,read,,,,1,0
205582,In Search of Respect: Selling Crack in El Barrio,Philippe Bourgois,"Bourgois, Philippe",,"=""0521017114""","=""9780521017114""",5.0,Cambridge University Press,Paperback,432,2003,1995,,2026/06/09,,,read,,,,1,0
2127760,"Defending the Border: Identity, Religion, and Modernity in the Republic of Georgia (Culture and Society after Socialism)",Mathijs Pelkmans,"Pelkmans, Mathijs",,"=""0801473306""","=""9780801473302""",3.0,Cornell University Press,Paperback,256,2006,2006,,2026/06/09,,,read,,,,2,0
38388988,Thinking Through Statistics,John Levi Martin,"Martin, John Levi",,"=""022656763X""","=""9780226567631""",5.0,University of Chicago Press,Paperback,400,2018,,,2026/02/14,,,read,,,,1,0
31146673,Thinking Through Methods: A Social Science Primer,John Levi Martin,"Martin, John Levi",,"=""022643172X""","=""9780226431727""",5.0,University of Chicago Press,Paperback,280,2017,,,2026/02/14,,,read,,,,1,0
22760465,Thinking Through Theory,John Levi Martin,"Martin, John Levi",,"=""0393937682""","=""9780393937688""",5.0,W W Norton & Co Inc,Paperback,275,2014,2014,,2026/02/14,,,read,,,,1,0
12458111,The Explanation of Social Action,John Levi Martin,"Martin, John Levi",,"=""0199773319""","=""9780199773312""",4.0,Oxford University Press,Hardcover,396,2011,2011,,2026/02/14,,,read,,,,1,0
